,Country Name,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh)
0,Africa,,2000,208.213584,91.84195713,75.24581662,2.269063158,0.013141,46.26333295,0.176,13.01000009
1,Africa,,2001,214.4311602,100.9764402,80.86411472,2.335352632,0.01636,47.13860403,0.41608,10.71899964
2,Africa,,2002,222.8976789,115.9521024,85.18146813,2.2864,0.01947101,46.40976625,0.444584,11.99099944
3,Africa,,2003,235.0154772,123.9764989,82.87260146,2.6224,0.02302901,47.87108766,0.541199,12.66299922
4,Africa,,2004,245.1945917,138.1535376,87.40546926,2.9841,0.02746101,48.73548389,0.769280505,13.36512271
5,Africa,,2005,248.8120677,152.74880919999998,89.06573418,3.0148,0.03237601,50.77501728,0.782382111,11.29265416
6,Africa,,2006,255.9014317,164.414609,92.24055301,3.77529,0.04065701,54.69724129,0.852565606,10.02599942
7,Africa,,2007,262.4704142,174.81874209999998,95.34056181,3.14685,0.053333293,58.19071309,1.016223364,11.31699987
8,Africa,,2008,257.4913186,184.4927751,97.15720925,3.2714220000000003,0.075132202,62.76800782,1.312178131,13.00399966
9,Africa,,2009,247.7055882,192.5277145,99.7611369,3.56272219,0.0981529269999999,67.71271341,1.589730939,12.80599944
10,Africa,,2010,257.3348795,218.2921095,107.42683259999998,3.829542064,0.21382075,65.37126025,2.284182434,13.52699988
11,Africa,,2011,259.9590085,235.6940029,110.444821,3.929656611,0.452785301,57.83920552,2.537472939,12.902
12,Africa,,2012,255.512364,261.2388935,110.9523002,4.089949862,0.551142126,68.94772323,2.96173124,12.96743391
13,Africa,,2013,251.3352277,268.4710536,117.6728464,4.438767925,0.82434814,79.62953808,3.5597843030000003,14.10599837
14,Africa,,2014,251.8741375,277.1168432,123.72679479999998,5.552723203999999,1.83130817,84.67913735,5.158121834,13.79399967
15,Africa,,2015,246.8359612,292.68621210000003,119.8568199,7.13598651,3.595709874,92.81668494,8.888286283,12.237
16,Africa,,2016,249.7962915,306.8942833,115.80125,7.206840106,4.939309565,87.16175222,11.30582067,15.913439000000002
17,Africa,,2017,249.7207417,326.8668081,123.8156247,7.571012851,6.9840506520000005,80.00760949,12.4581791,15.756337
18,Africa,,2018,256.5685768,331.30307860000005,130.3878399,8.059533373999999,9.850222858,79.31776275,14.28779541,11.090427
19,Asia Pacific,,2000,2174.51852,599.6977297999999,521.6520706,44.60806485,0.428484426,421.9656128,2.56394698,500.0392753
20,Asia Pacific,,2001,2308.734902,639.1181957,570.4627558999999,45.24425452,0.608506426,383.1972706,3.517409418,506.6039518
21,Asia Pacific,,2002,2508.410928,690.4702244,578.9078873999999,47.07413449,0.829111425,391.561237,4.067013247,519.2896707
22,Asia Pacific,,2003,2816.947967,756.1480475,594.3534075,49.24454746,1.116570608,391.9980379,5.340875855,462.02941
23,Asia Pacific,,2004,3068.934455,800.5255043,699.1512328,53.02552883,1.463785013,384.5993403,9.1866934,530.2104429999999
24,Asia Pacific,,2005,3394.882793,819.7801326,727.87445,60.19216537,1.852540528,382.9085081,12.01919361,553.1420954
25,Asia Pacific,,2006,3761.525557,880.7882195000001,801.6969349999999,64.50003345,2.29110778,340.65382650000004,18.56980713,567.9177097999999
26,Asia Pacific,,2007,4188.345871,954.7748277,852.1729591,71.1330306,2.757475173,356.67001160000007,24.65101102,544.7646746
27,Asia Pacific,,2008,4307.800397,1005.936538,997.7759893,79.03590767,3.362340344,326.0741179,36.12928498,528.9005726
28,Asia Pacific,,2009,4552.347226,1045.365174,968.0859571,87.99922241,4.40856319,253.7377117,54.87951482,553.402872
